country,demographic,coefficient,intercept,test_size,r_squared,latitude,longitude
Afghanistan,Female 0-4,8953.391608391606,-17871710.135664333,0.1289,0.8726899200616454,33.7680065,66.2385139
Afghanistan,Female 5-17,12459.73,-24739187.06,0.06509999999999999,0.5703431552242846,33.7680065,66.2385139
Afghanistan,Female 18-59,1831.58426966292,-3285693.6613162095,0.2101,0.01612961547108871,33.7680065,66.2385139
Afghanistan,Female 60+,-1130.9560810810806,2317319.0574324317,0.0564,0.7573013872805747,33.7680065,66.2385139
Afghanistan,Male 0-4,8964.967316153365,-17892259.31772471,0.08249999999999999,0.9029461171295554,33.7680065,66.2385139
Afghanistan,Male 5-17,11388.611497975708,-22564414.76696356,0.0564,0.4739876214217964,33.7680065,66.2385139
Afghanistan,Male 18-59,-3129.8490870032233,6720126.052273543,0.1347,0.12254686410659354,33.7680065,66.2385139
Afghanistan,Male 60+,-137.9024390243903,323692.2195121952,0.01,0.0,33.7680065,66.2385139
Albania,Female 0-4,22.150773993808052,-44421.36130030961,0.0564,0.9155759169019088,41.000028,19.9999619
Albania,Female 5-17,28.9535542956825,-58047.83013519405,0.2768,0.28155209432689177,41.000028,19.9999619
Albania,Female 18-59,93.257385292269,-186969.246071653,0.08249999999999999,0.9713965049725434,41.000028,19.9999619
Albania,Female 60+,5.753378378378375,-11533.101351351348,0.07959999999999999,0.9947137033461084,41.000028,19.9999619
Albania,Male 0-4,22.144831823068646,-44406.913684533865,0.0999,0.9227492842216894,41.000028,19.9999619
Albania,Male 5-17,26.00324675324676,-52122.370129870134,0.2536,0.2696970013746033,41.000028,19.9999619
Albania,Male 18-59,98.44996823379923,-197334.46283354508,0.1289,0.7205012636769599,41.000028,19.9999619
Albania,Male 60+,9.148390342052323,-18345.205231388343,0.1463,0.5825659440954031,41.000028,19.9999619
Algeria,Female 0-4,-268.6478743068393,541040.462107209,0.2971,0.308942847983112,28.0000272,2.9999825
Algeria,Female 5-17,-556.3209853328315,1120525.5955246324,0.2391,0.37026105397842457,28.0000272,2.9999825
Algeria,Female 18-59,-805.8426834969614,1622850.0081813934,0.2739,0.3045094577332671,28.0000272,2.9999825
Algeria,Female 60+,-100.38299170326988,202128.42032698874,0.01,0.0,28.0000272,2.9999825
Algeria,Male 0-4,-246.18028846153854,496011.7644230771,0.2768,0.2711868884802495,28.0000272,2.9999825
Algeria,Male 5-17,-678.5829875518675,1366486.08713693,0.2362,0.3744282614052529,28.0000272,2.9999825
Algeria,Male 18-59,-719.243222700785,1450121.8978971362,0.2884,0.2683633607766617,28.0000272,2.9999825
Algeria,Male 60+,-101.53079947575357,204453.871559633,0.1115,0.3665880126013099,28.0000272,2.9999825
Angola,Female 0-4,-68.59100364014566,145532.90119604795,0.01,0.0,-11.8775768,17.5691241
